descriptive_name,V2,original_name
AngleTimeBodyAccelerometerJerkMeanGravityMean,meaning of,"angle(tBodyAccJerkMean),gravityMean)"
AngleTimeBodyGyroscopeMeanGravityMean,meaning of,"angle(tBodyGyroMean,gravityMean)"
AngleTimeBodyGyroscopeJerkMeanGravityMean,meaning of,"angle(tBodyGyroJerkMean,gravityMean)"
AngleXGravityMean,meaning of,"angle(X,gravityMean)"
AngleYGravityMean,meaning of,"angle(Y,gravityMean)"
AngleZGravityMean,meaning of,"angle(Z,gravityMean)"
TimeBodyAccelerometerSTD-X,meaning of,tBodyAcc-std()-X
TimeBodyAccelerometerSTD-Y,meaning of,tBodyAcc-std()-Y
TimeBodyAccelerometerSTD-Z,meaning of,tBodyAcc-std()-Z
TimeGravityAccelerometerSTD-X,meaning of,tGravityAcc-std()-X
TimeGravityAccelerometerSTD-Y,meaning of,tGravityAcc-std()-Y
TimeGravityAccelerometerSTD-Z,meaning of,tGravityAcc-std()-Z
TimeBodyAccelerometerJerkSTD-X,meaning of,tBodyAccJerk-std()-X
TimeBodyAccelerometerJerkSTD-Y,meaning of,tBodyAccJerk-std()-Y
TimeBodyAccelerometerJerkSTD-Z,meaning of,tBodyAccJerk-std()-Z
TimeBodyGyroscopeSTD-X,meaning of,tBodyGyro-std()-X
TimeBodyGyroscopeSTD-Y,meaning of,tBodyGyro-std()-Y
TimeBodyGyroscopeSTD-Z,meaning of,tBodyGyro-std()-Z
TimeBodyGyroscopeJerkSTD-X,meaning of,tBodyGyroJerk-std()-X
TimeBodyGyroscopeJerkSTD-Y,meaning of,tBodyGyroJerk-std()-Y
TimeBodyGyroscopeJerkSTD-Z,meaning of,tBodyGyroJerk-std()-Z
TimeBodyAccelerometerMagnitudeSTD,meaning of,tBodyAccMag-std()
TimeGravityAccelerometerMagnitudeSTD,meaning of,tGravityAccMag-std()
TimeBodyAccelerometerJerkMagnitudeSTD,meaning of,tBodyAccJerkMag-std()
TimeBodyGyroscopeMagnitudeSTD,meaning of,tBodyGyroMag-std()
TimeBodyGyroscopeJerkMagnitudeSTD,meaning of,tBodyGyroJerkMag-std()
FrequencyBodyAccelerometerSTD-X,meaning of,fBodyAcc-std()-X
FrequencyBodyAccelerometerSTD-Y,meaning of,fBodyAcc-std()-Y
FrequencyBodyAccelerometerSTD-Z,meaning of,fBodyAcc-std()-Z
FrequencyBodyAccelerometerJerkSTD-X,meaning of,fBodyAccJerk-std()-X
FrequencyBodyAccelerometerJerkSTD-Y,meaning of,fBodyAccJerk-std()-Y
FrequencyBodyAccelerometerJerkSTD-Z,meaning of,fBodyAccJerk-std()-Z
FrequencyBodyGyroscopeSTD-X,meaning of,fBodyGyro-std()-X
FrequencyBodyGyroscopeSTD-Y,meaning of,fBodyGyro-std()-Y
FrequencyBodyGyroscopeSTD-Z,meaning of,fBodyGyro-std()-Z
FrequencyBodyAccelerometerMagnitudeSTD,meaning of,fBodyAccMag-std()
FrequencyBodyAccelerometerJerkMagnitudeSTD,meaning of,fBodyBodyAccJerkMag-std()
FrequencyBodyGyroscopeMagnitudeSTD,meaning of,fBodyBodyGyroMag-std()
FrequencyBodyGyroscopeJerkMagnitudeSTD,meaning of,fBodyBodyGyroJerkMag-std()
